,Employer,Job Title,Base Salary,Location,Ethnicity,Gender,Sexual Orientation
671,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
672,GOOGLE LLC,DATA SCIENTIST,137000,"SUNNYVALE, CA",Black,Female,Heterosexual
673,GOOGLE LLC,DATA SCIENTIST,139000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
674,GOOGLE LLC,DATA SCIENTIST,140000,"SUNNYVALE, CA",Asian,Male,Heterosexual
675,GOOGLE LLC,DATA SCIENTIST,140000,"MOUNTAIN VIEW, CA",White,Non-binary,Heterosexual
676,GOOGLE LLC,DATA SCIENTIST,141000,"MOUNTAIN VIEW, CA",White,Female,Heterosexual
677,GOOGLE LLC,DATA SCIENTIST,141000,"MOUNTAIN VIEW, CA",White,Female,Queer
678,GOOGLE LLC,DATA SCIENTIST,144000,"MOUNTAIN VIEW, CA",White,Female,Heterosexual
679,GOOGLE LLC,DATA SCIENTIST,145000,"MOUNTAIN VIEW, CA",Hispanic,Male,Heterosexual
680,GOOGLE LLC,DATA SCIENTIST,146000,"MOUNTAIN VIEW, CA",Asian,Male,Heterosexual
681,GOOGLE LLC,DATA SCIENTIST,146000,"MOUNTAIN VIEW, CA",Black,Transgender Male,Heterosexual
682,GOOGLE LLC,DATA SCIENTIST,147000,"MOUNTAIN VIEW, CA",Hispanic,Male,Queer
683,GOOGLE LLC,DATA SCIENTIST,147000,"NEW YORK, NY",White,Male,Bisexual
684,GOOGLE LLC,DATA SCIENTIST,147000,"NEW YORK, NY",White,Transgender Female,Fluid
685,GOOGLE LLC,DATA SCIENTIST,148000,"REDWOOD CITY, CA",Hispanic,Female,Heterosexual
686,GOOGLE LLC,DATA SCIENTIST,150000,"MOUNTAIN VIEW, CA",White,Male,Asexual
687,GOOGLE LLC,DATA SCIENTIST,150000,"MOUNTAIN VIEW, CA",Black,Gender Fluid,Queer
688,GOOGLE LLC,DATA SCIENTIST,150000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
689,GOOGLE LLC,DATA SCIENTIST,151000,"MOUNTAIN VIEW, CA",Black,Non-binary,Asexual
690,GOOGLE LLC,DATA SCIENTIST,154000,"NEW YORK, NY",Asian,Male,Bisexual
691,GOOGLE LLC,DATA SCIENTIST,154000,"MOUNTAIN VIEW, CA",Asian,Female,Homosexual
692,GOOGLE LLC,DATA SCIENTIST,154000,"MOUNTAIN VIEW, CA",Asian,Male,Asexual
693,GOOGLE LLC,DATA SCIENTIST,154000,"NEW YORK, NY",Hispanic,Male,Heterosexual
694,GOOGLE LLC,DATA SCIENTIST,161000,"NEW YORK, NY",Hispanic,Male,Heterosexual
695,GOOGLE LLC,DATA SCIENTIST,168000,"SUNNYVALE, CA",White,Female,Heterosexual
696,GOOGLE LLC,DATA SCIENTIST,169000,"MOUNTAIN VIEW, CA",Black,Male,Heterosexual
697,GOOGLE LLC,DATA SCIENTIST,175000,"NEW YORK CITY, NY",White,Male,Heterosexual
698,GOOGLE LLC,DATA SCIENTIST,195000,"MOUNTAIN VIEW, CA",White,Male,Homosexual
989,GOOGLE LLC,HARDWARE ENGINEER,93000,"CHICAGO, IL",White,Male,Heterosexual
990,GOOGLE LLC,HARDWARE ENGINEER,101000,"MOUNTAIN VIEW, CA",Hispanic,Male,Homosexual
991,GOOGLE LLC,HARDWARE ENGINEER,101000,"MOUNTAIN VIEW, CA",White,Transgender Male,Homosexual
992,GOOGLE LLC,HARDWARE ENGINEER,101000,"MOUNTAIN VIEW, CA",Hispanic,Transgender Female,Homosexual
993,GOOGLE LLC,HARDWARE ENGINEER,109000,"MOUNTAIN VIEW, CA",White,Female,Asexual
994,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",Pacific Islander,Transgender Female,Bisexual
995,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",Asian,Transgender Female,Heterosexual
996,GOOGLE LLC,HARDWARE ENGINEER,112000,"SUNNYVALE, CA",White,Female,Fluid
997,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",White,Female,Heterosexual
998,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",Asian,Female,Pansexual
999,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",Asian,Transgender Male,Heterosexual
1000,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",Asian,Non-binary,Fluid
1001,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",White,Female,Queer
1002,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",Pacific Islander,Female,Queer
1003,GOOGLE LLC,HARDWARE ENGINEER,112000,"SUNNYVALE, CA",Hispanic,Transgender Female,Asexual
1004,GOOGLE LLC,HARDWARE ENGINEER,112000,"MOUNTAIN VIEW, CA",Hispanic,Female,Homosexual
1005,GOOGLE LLC,HARDWARE ENGINEER,112000,"SUNNYVALE, CA",White,Transgender Female,Asexual
1006,GOOGLE LLC,HARDWARE ENGINEER,113000,"SUNNYVALE, CA",White,Female,Heterosexual
1007,GOOGLE LLC,HARDWARE ENGINEER,113000,"MOUNTAIN VIEW, CA",Asian,Female,Asexual
1008,GOOGLE LLC,HARDWARE ENGINEER,113000,"MOUNTAIN VIEW, CA",Black,Female,Heterosexual
1009,GOOGLE LLC,HARDWARE ENGINEER,113000,"MOUNTAIN VIEW, CA",Black,Female,Heterosexual
1010,GOOGLE LLC,HARDWARE ENGINEER,113000,"MOUNTAIN VIEW, CA",White,Non-binary,Heterosexual
1011,GOOGLE LLC,HARDWARE ENGINEER,113000,"MOUNTAIN VIEW, CA",Asian,Male,Fluid
1012,GOOGLE LLC,HARDWARE ENGINEER,113000,"SUNNYVALE, CA",American Indian,Female,Homosexual
1013,GOOGLE LLC,HARDWARE ENGINEER,114000,"MOUNTAIN VIEW, CA",White,Female,Fluid
1014,GOOGLE LLC,HARDWARE ENGINEER,115000,"MOUNTAIN VIEW, CA",White,Non-binary,Homosexual
1015,GOOGLE LLC,HARDWARE ENGINEER,116000,"MOUNTAIN VIEW, CA",White,Female,Queer
1016,GOOGLE LLC,HARDWARE ENGINEER,116000,"MOUNTAIN VIEW, CA",Black,Female,Fluid
1017,GOOGLE LLC,HARDWARE ENGINEER,116000,"SUNNYVALE, CA",Hispanic,Male,Homosexual
1018,GOOGLE LLC,HARDWARE ENGINEER,117000,"MOUNTAIN VIEW, CA",Asian,Transgender Female,Homosexual
1019,GOOGLE LLC,HARDWARE ENGINEER,117000,"MOUNTAIN VIEW, CA",Asian,Non-binary,Heterosexual
1020,GOOGLE LLC,HARDWARE ENGINEER,117000,"MOUNTAIN VIEW, CA",White,Female,Pansexual
1021,GOOGLE LLC,HARDWARE ENGINEER,119496,"SUNNYVALE, CA",American Indian,Female,Heterosexual
1022,GOOGLE LLC,HARDWARE ENGINEER,119496,"SUNNYVALE, CA",Hispanic,Transgender Male,Homosexual
1023,GOOGLE LLC,HARDWARE ENGINEER,119496,"SUNNYVALE, CA",White,Gender Fluid,Homosexual
1024,GOOGLE LLC,HARDWARE ENGINEER,120000,"SUNNYVALE, CA",Pacific Islander,Non-binary,Asexual
1025,GOOGLE LLC,HARDWARE ENGINEER,122000,"SUNNYVALE, CA",Hispanic,Gender Fluid,Queer
1026,GOOGLE LLC,HARDWARE ENGINEER,122000,"SUNNYVALE, CA",White,Non-binary,Homosexual
1027,GOOGLE LLC,HARDWARE ENGINEER,122000,"MOUNTAIN VIEW, CA",Black,Non-binary,Bisexual
1028,GOOGLE LLC,HARDWARE ENGINEER,122000,"SUNNYVALE, CA",Black,Female,Pansexual
1029,GOOGLE LLC,HARDWARE ENGINEER,122000,"SUNNYVALE, CA",Black,Female,Fluid
1030,GOOGLE LLC,HARDWARE ENGINEER,122000,"MOUNTAIN VIEW, CA",Asian,Female,Homosexual
1031,GOOGLE LLC,HARDWARE ENGINEER,122000,"MOUNTAIN VIEW, CA",White,Female,Fluid
1032,GOOGLE LLC,HARDWARE ENGINEER,122000,"SUNNYVALE, CA",Hispanic,Female,Homosexual
1033,GOOGLE LLC,HARDWARE ENGINEER,125000,"PALO ALTO, CA",American Indian,Male,Asexual
1034,GOOGLE LLC,HARDWARE ENGINEER,127000,"MADISON, WI",Pacific Islander,Non-binary,Bisexual
1035,GOOGLE LLC,HARDWARE ENGINEER,130000,"MOUNTAIN VIEW, CA",Asian,Female,Fluid
1036,GOOGLE LLC,HARDWARE ENGINEER,130000,"SUNNYVALE, CA",Asian,Transgender Male,Heterosexual
1037,GOOGLE LLC,HARDWARE ENGINEER,130000,"MOUNTAIN VIEW, CA",White,Female,Asexual
1038,GOOGLE LLC,HARDWARE ENGINEER,130000,"SUNNYVALE, CA",Asian,Female,Heterosexual
1039,GOOGLE LLC,HARDWARE ENGINEER,130000,"MOUNTAIN VIEW, CA",White,Female,Queer
1040,GOOGLE LLC,HARDWARE ENGINEER,130000,"SUNNYVALE, CA",White,Female,Heterosexual
1041,GOOGLE LLC,HARDWARE ENGINEER,130000,"SUNNYVALE, CA",Pacific Islander,Gender Fluid,Heterosexual
1042,GOOGLE LLC,HARDWARE ENGINEER,130000,"MOUNTAIN VIEW, CA",American Indian,Non-binary,Heterosexual
1043,GOOGLE LLC,HARDWARE ENGINEER,130000,"LIVERMORE, CA",Pacific Islander,Female,Homosexual
1044,GOOGLE LLC,HARDWARE ENGINEER,131000,"SUNNYVALE, CA",Black,Transgender Male,Asexual
1045,GOOGLE LLC,HARDWARE ENGINEER,131000,"SUNNYVALE, CA",Black,Female,Fluid
1046,GOOGLE LLC,HARDWARE ENGINEER,131000,"SUNNYVALE, CA",Asian,Female,Heterosexual
1047,GOOGLE LLC,HARDWARE ENGINEER,131000,"MOUNTAIN VIEW, CA",Asian,Transgender Female,Heterosexual
1048,GOOGLE LLC,HARDWARE ENGINEER,131000,"MOUNTAIN VIEW, CA",Asian,Female,Asexual
1049,GOOGLE LLC,HARDWARE ENGINEER,131000,"SUNNYVALE, CA",American Indian,Female,Asexual
1050,GOOGLE LLC,HARDWARE ENGINEER,131000,"MOUNTAIN VIEW, CA",Pacific Islander,Transgender Female,Homosexual
1051,GOOGLE LLC,HARDWARE ENGINEER,131000,"SUNNYVALE, CA",Asian,Transgender Male,Heterosexual
1052,GOOGLE LLC,HARDWARE ENGINEER,131000,"MOUNTAIN VIEW, CA",Asian,Transgender Female,Pansexual
1053,GOOGLE LLC,HARDWARE ENGINEER,131000,"SUNNYVALE, CA",White,Female,Homosexual
1054,GOOGLE LLC,HARDWARE ENGINEER,131500,"MOUNTAIN VIEW, CA",Pacific Islander,Female,Queer
1055,GOOGLE LLC,HARDWARE ENGINEER,133000,"CHICAGO, IL",Hispanic,Transgender Female,Asexual
1056,GOOGLE LLC,HARDWARE ENGINEER,133000,"MOUNTAIN VIEW, CA",Asian,Non-binary,Heterosexual
1057,GOOGLE LLC,HARDWARE ENGINEER,135000,"MOUNTAIN VIEW, CA",White,Female,Heterosexual
1058,GOOGLE LLC,HARDWARE ENGINEER,135000,"MOUNTAIN VIEW, CA",White,Non-binary,Heterosexual
1059,GOOGLE LLC,HARDWARE ENGINEER,135000,"MOUNTAIN VIEW, CA",Asian,Female,Fluid
1060,GOOGLE LLC,HARDWARE ENGINEER,140000,"MOUNTAIN VIEW, CA",Asian,Male,Fluid
1061,GOOGLE LLC,HARDWARE ENGINEER,140000,"MOUNTAIN VIEW, CA",White,Female,Homosexual
1062,GOOGLE LLC,HARDWARE ENGINEER,140000,"MOUNTAIN VIEW, CA",Asian,Male,Bisexual
1063,GOOGLE LLC,HARDWARE ENGINEER,140000,"MOUNTAIN VIEW, CA",Hispanic,Male,Homosexual
1064,GOOGLE LLC,HARDWARE ENGINEER,140000,"MOUNTAIN VIEW, CA",Black,Male,Heterosexual
1065,GOOGLE LLC,HARDWARE ENGINEER,140000,"SUNNYVALE, CA",White,Female,Homosexual
1066,GOOGLE LLC,HARDWARE ENGINEER,140000,"MOUNTAIN VIEW, CA",White,Male,Fluid
1067,GOOGLE LLC,HARDWARE ENGINEER,140000,"SUNNYVALE, CA",Hispanic,Non-binary,Homosexual
1068,GOOGLE LLC,HARDWARE ENGINEER,142000,"MOUNTAIN VIEW, CA",White,Transgender Male,Heterosexual
1069,GOOGLE LLC,HARDWARE ENGINEER,143610,"MOUNTAIN VIEW, CA",Hispanic,Male,Asexual
1070,GOOGLE LLC,HARDWARE ENGINEER,144000,"MOUNTAIN VIEW, CA",White,Male,Fluid
1071,GOOGLE LLC,HARDWARE ENGINEER,144200,"MOUNTAIN VIEW, CA",White,Female,Heterosexual
1072,GOOGLE LLC,HARDWARE ENGINEER,144970,"MOUNTAIN VIEW, CA",Black,Male,Heterosexual
1073,GOOGLE LLC,HARDWARE ENGINEER,145000,"SUNNYVALE, CA",Black,Female,Bisexual
1074,GOOGLE LLC,HARDWARE ENGINEER,145000,"SUNNYVALE, CA",Asian,Male,Heterosexual
1075,GOOGLE LLC,HARDWARE ENGINEER,145000,"MOUNTAIN VIEW, CA",Black,Male,Asexual
1076,GOOGLE LLC,HARDWARE ENGINEER,145000,"SUNNYVALE, CA",Hispanic,Male,Bisexual
1077,GOOGLE LLC,HARDWARE ENGINEER,145000,"MOUNTAIN VIEW, CA",Asian,Gender Fluid,Heterosexual
1078,GOOGLE LLC,HARDWARE ENGINEER,145000,"SUNNYVALE, CA",White,Transgender Female,Heterosexual
1079,GOOGLE LLC,HARDWARE ENGINEER,146000,"MOUNTAIN VIEW, CA",White,Male,Bisexual
1080,GOOGLE LLC,HARDWARE ENGINEER,146000,"SUNNYVALE, CA",Asian,Gender Fluid,Pansexual
1081,GOOGLE LLC,HARDWARE ENGINEER,147000,"MOUNTAIN VIEW, CA",Black,Female,Asexual
1082,GOOGLE LLC,HARDWARE ENGINEER,147000,"SUNNYVALE, CA",White,Male,Heterosexual
1083,GOOGLE LLC,HARDWARE ENGINEER,147000,"SUNNYVALE, CA",Hispanic,Male,Homosexual
1084,GOOGLE LLC,HARDWARE ENGINEER,147000,"MOUNTAIN VIEW, CA",Asian,Non-binary,Pansexual
1085,GOOGLE LLC,HARDWARE ENGINEER,147000,"SUNNYVALE, CA",Hispanic,Male,Heterosexual
1086,GOOGLE LLC,HARDWARE ENGINEER,147000,"MOUNTAIN VIEW, CA",White,Transgender Male,Bisexual
1087,GOOGLE LLC,HARDWARE ENGINEER,147000,"SUNNYVALE, CA",Black,Male,Heterosexual
1088,GOOGLE LLC,HARDWARE ENGINEER,147000,"MOUNTAIN VIEW, CA",Black,Male,Homosexual
1089,GOOGLE LLC,HARDWARE ENGINEER,148000,"SUNNYVALE, CA",White,Female,Bisexual
1090,GOOGLE LLC,HARDWARE ENGINEER,150000,"MOUNTAIN VIEW, CA",White,Transgender Male,Pansexual
1091,GOOGLE LLC,HARDWARE ENGINEER,150000,"SUNNYVALE, CA",White,Male,Heterosexual
1092,GOOGLE LLC,HARDWARE ENGINEER,150000,"MOUNTAIN VIEW, CA",Black,Female,Pansexual
1093,GOOGLE LLC,HARDWARE ENGINEER,150000,"MOUNTAIN VIEW, CA",Hispanic,Female,Homosexual
1094,GOOGLE LLC,HARDWARE ENGINEER,150000,"MOUNTAIN VIEW, CA",Black,Male,Fluid
1095,GOOGLE LLC,HARDWARE ENGINEER,155000,"SUNNYVALE, CA",White,Male,Bisexual
1096,GOOGLE LLC,HARDWARE ENGINEER,155000,"SUNNYVALE, CA",White,Non-binary,Fluid
1097,GOOGLE LLC,HARDWARE ENGINEER,155000,"SUNNYVALE, CA",White,Male,Bisexual
1098,GOOGLE LLC,HARDWARE ENGINEER,155000,"MOUNTAIN VIEW, CA",Black,Female,Homosexual
1099,GOOGLE LLC,HARDWARE ENGINEER,155000,"MOUNTAIN VIEW, CA",Black,Female,Fluid
1100,GOOGLE LLC,HARDWARE ENGINEER,155000,"MOUNTAIN VIEW, CA",Asian,Female,Homosexual
1101,GOOGLE LLC,HARDWARE ENGINEER,155000,"SUNNYVALE, CA",Asian,Non-binary,Asexual
1102,GOOGLE LLC,HARDWARE ENGINEER,156000,"MOUNTAIN VIEW, CA",Asian,Female,Pansexual
1103,GOOGLE LLC,HARDWARE ENGINEER,156000,"MOUNTAIN VIEW, CA",Asian,Non-binary,Bisexual
1104,GOOGLE LLC,HARDWARE ENGINEER,156000,"MOUNTAIN VIEW, CA",Asian,Male,Bisexual
1105,GOOGLE LLC,HARDWARE ENGINEER,157000,"SUNNYVALE, CA",White,Female,Bisexual
1106,GOOGLE LLC,HARDWARE ENGINEER,160000,"MOUNTAIN VIEW, CA",Asian,Male,Homosexual
1107,GOOGLE LLC,HARDWARE ENGINEER,160000,"MOUNTAIN VIEW, CA",White,Male,Homosexual
1108,GOOGLE LLC,HARDWARE ENGINEER,162000,"MOUNTAIN VIEW, CA",Black,Male,Heterosexual
1109,GOOGLE LLC,HARDWARE ENGINEER,164000,"MOUNTAIN VIEW, CA",White,Male,Bisexual
1110,GOOGLE LLC,HARDWARE ENGINEER,165000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
1111,GOOGLE LLC,HARDWARE ENGINEER,166000,"SUNNYVALE, CA",Asian,Male,Heterosexual
1112,GOOGLE LLC,HARDWARE ENGINEER,168000,"MOUNTAIN VIEW, CA",White,Male,Homosexual
1113,GOOGLE LLC,HARDWARE ENGINEER,174000,"MOUNTAIN VIEW, CA",Black,Male,Heterosexual
1114,GOOGLE LLC,HARDWARE ENGINEER,174000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
1115,GOOGLE LLC,HARDWARE ENGINEER,176649,"MOUNTAIN VIEW, CA",Asian,Female,Heterosexual
1116,GOOGLE LLC,HARDWARE ENGINEER,178400,"MOUNTAIN VIEW, CA",Black,Female,Bisexual
1117,GOOGLE LLC,HARDWARE ENGINEER,180000,"SUNNYVALE, CA",Asian,Male,Bisexual
1118,GOOGLE LLC,HARDWARE ENGINEER,180000,"MOUNTAIN VIEW, CA",Asian,Male,Heterosexual
1119,GOOGLE LLC,HARDWARE ENGINEER,190000,"SUNNYVALE, CA",Hispanic,Male,Heterosexual
1120,GOOGLE LLC,HARDWARE ENGINEER,200000,"MOUNTAIN VIEW, CA",White,Male,Homosexual
1121,GOOGLE LLC,HARDWARE ENGINEER,203500,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
1122,GOOGLE LLC,HARDWARE ENGINEER,205000,"MOUNTAIN VIEW, CA",Asian,Male,Heterosexual
1123,GOOGLE LLC,HARDWARE ENGINEER,227000,"SUNNYVALE, CA",White,Male,Heterosexual
1124,GOOGLE LLC,HARDWARE ENGINEER,227000,"SUNNYVALE, CA",Hispanic,Male,Heterosexual
1125,GOOGLE LLC,HARDWARE ENGINEER,243000,"MOUNTAIN VIEW, CA",White,Female,Homosexual
1588,GOOGLE LLC,PRODUCT MANAGER,114650,"SAN BRUNO, CA",White,Female,Heterosexual
1589,GOOGLE LLC,PRODUCT MANAGER,120000,"SAN FRANCISCO, CA",White,Transgender Male,Homosexual
1590,GOOGLE LLC,PRODUCT MANAGER,120000,"NEW YORK, NY",American Indian,Female,Fluid
1591,GOOGLE LLC,PRODUCT MANAGER,120000,"MOUNTAIN VIEW, CA",Asian,Gender Fluid,Fluid
1592,GOOGLE LLC,PRODUCT MANAGER,120000,"MOUNTAIN VIEW, CA",Hispanic,Non-binary,Heterosexual
1593,GOOGLE LLC,PRODUCT MANAGER,120000,"MOUNTAIN VIEW, CA",Hispanic,Transgender Male,Homosexual
1594,GOOGLE LLC,PRODUCT MANAGER,120000,"MOUNTAIN VIEW, CA",American Indian,Transgender Male,Heterosexual
1595,GOOGLE LLC,PRODUCT MANAGER,120000,"MOUNTAIN VIEW, CA",Black,Female,Heterosexual
1596,GOOGLE LLC,PRODUCT MANAGER,120000,"MOUNTAIN VIEW, CA",White,Male,Homosexual
1597,GOOGLE LLC,PRODUCT MANAGER,120000,"MOUNTAIN VIEW, CA",Asian,Male,Bisexual
1598,GOOGLE LLC,PRODUCT MANAGER,122000,"SOUTH KIRKLAND, WA",White,Transgender Female,Homosexual
1599,GOOGLE LLC,PRODUCT MANAGER,125000,"MOUNTAIN VIEW, CA",White,Transgender Male,Bisexual
1600,GOOGLE LLC,PRODUCT MANAGER,125000,"MOUNTAIN VIEW, CA",American Indian,Female,Heterosexual
1601,GOOGLE LLC,PRODUCT MANAGER,125000,"MOUNTAIN VIEW, CA",American Indian,Transgender Male,Homosexual
1602,GOOGLE LLC,PRODUCT MANAGER,125000,"MOUNTAIN VIEW, CA",Hispanic,Transgender Female,Heterosexual
1603,GOOGLE LLC,PRODUCT MANAGER,125000,"KIRKLAND, WA",Hispanic,Male,Homosexual
1604,GOOGLE LLC,PRODUCT MANAGER,125000,"MOUNTAIN VIEW, CA",Asian,Non-binary,Homosexual
1605,GOOGLE LLC,PRODUCT MANAGER,125000,"MOUNTAIN VIEW, CA",Asian,Female,Homosexual
1606,GOOGLE LLC,PRODUCT MANAGER,126000,"VENICE, CA",Asian,Gender Fluid,Bisexual
1607,GOOGLE LLC,PRODUCT MANAGER,130000,"MOUNTAIN VIEW, CA",Black,Non-binary,Queer
1608,GOOGLE LLC,PRODUCT MANAGER,130000,"MOUNTAIN VIEW, CA",White,Non-binary,Homosexual
1609,GOOGLE LLC,PRODUCT MANAGER,132000,"SAN BRUNO, CA",Asian,Male,Fluid
1610,GOOGLE LLC,PRODUCT MANAGER,132000,"KIRKLAND, WA",White,Transgender Male,Heterosexual
1611,GOOGLE LLC,PRODUCT MANAGER,133000,"MOUNTAIN VIEW, CA",White,Female,Homosexual
1612,GOOGLE LLC,PRODUCT MANAGER,134000,"MOUNTAIN VIEW, CA",Asian,Female,Heterosexual
1613,GOOGLE LLC,PRODUCT MANAGER,134000,"MOUNTAIN VIEW, CA",Pacific Islander,Transgender Male,Queer
1614,GOOGLE LLC,PRODUCT MANAGER,134000,"MOUNTAIN VIEW, CA",White,Transgender Male,Homosexual
1615,GOOGLE LLC,PRODUCT MANAGER,134000,"SUNNYVALE, CA",Hispanic,Non-binary,Heterosexual
1616,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
1617,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",Black,Female,Heterosexual
1618,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
1619,GOOGLE LLC,PRODUCT MANAGER,135000,"SUNNYVALE, CA",Asian,Female,Heterosexual
1620,GOOGLE LLC,PRODUCT MANAGER,135000,"SUNNYVALE, CA",Hispanic,Male,Homosexual
1621,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",Black,Female,Heterosexual
1622,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",Asian,Female,Heterosexual
1623,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",White,Transgender Female,Heterosexual
1624,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",White,Male,Queer
1625,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",White,Male,Bisexual
1626,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",Black,Male,Fluid
1627,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",Black,Male,Homosexual
1628,GOOGLE LLC,PRODUCT MANAGER,135000,"MOUNTAIN VIEW, CA",Hispanic,Female,Asexual
